,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
640,0.26502311248074,0.36979969183359,0.281972265023112,0.263482280431433,0.263482280431433,0.274268104776579,0.275808936825886,0.124807395993837,0.195685670261941,0.289676425269646,0.138674884437596,0.36979969183359,0.106317411402157,0.169491525423729
649,0.265957446808511,0.369300911854103,0.282674772036474,0.270516717325228,0.270516717325228,0.268996960486322,0.282674772036474,0.129179331306991,0.194528875379939,0.285714285714286,0.145896656534954,0.373860182370821,0.101823708206687,0.16565349544073
658,0.269865067466267,0.367316341829086,0.287856071964018,0.275862068965517,0.265367316341829,0.266866566716642,0.27736131934033,0.122938530734633,0.199400299850075,0.284857571214393,0.145427286356822,0.374812593703148,0.097451274362819,0.169415292353823
667,0.269230769230769,0.372781065088757,0.291420118343195,0.282544378698225,0.263313609467456,0.266272189349112,0.275147928994083,0.121301775147929,0.193786982248521,0.288461538461538,0.146449704142012,0.374260355029586,0.093195266272189,0.167159763313609
676,0.278832116788321,0.376642335766423,0.289051094890511,0.283211678832117,0.256934306569343,0.264233576642336,0.272992700729927,0.116788321167883,0.191240875912409,0.283211678832117,0.145985401459854,0.375182481751825,0.091970802919708,0.166423357664234
685,0.285302593659942,0.378962536023055,0.289625360230547,0.280979827089337,0.260806916426513,0.272334293948127,0.268011527377522,0.11671469740634,0.19164265129683,0.285302593659942,0.145533141210375,0.378962536023055,0.095100864553314,0.164265129682997
694,0.281650071123755,0.378378378378378,0.287339971550498,0.28022759601707,0.264580369843528,0.275960170697013,0.268847795163585,0.113798008534851,0.19203413940256,0.287339971550498,0.145092460881935,0.382645803698435,0.092460881934566,0.160739687055477
703,0.279494382022472,0.376404494382022,0.283707865168539,0.280898876404494,0.265449438202247,0.280898876404494,0.27247191011236,0.11938202247191,0.188202247191011,0.283707865168539,0.144662921348315,0.389044943820225,0.092696629213483,0.158707865168539
712,0.281553398058252,0.373092926490985,0.27877947295423,0.287101248266297,0.271844660194175,0.284327323162275,0.274618585298197,0.11373092926491,0.192787794729542,0.281553398058252,0.148404993065187,0.384188626907073,0.08876560332871,0.16504854368932
721,0.282191780821918,0.375342465753425,0.280821917808219,0.29041095890411,0.272602739726027,0.286301369863014,0.26986301369863,0.113698630136986,0.197260273972603,0.283561643835616,0.150684931506849,0.386301369863014,0.082191780821918,0.173972602739726
730,0.280108254397835,0.37212449255751,0.282814614343708,0.293640054127199,0.274695534506089,0.281461434370771,0.271989174560216,0.11637347767253,0.196211096075778,0.284167794316644,0.158322056833559,0.374830852503383,0.081190798376184,0.174560216508796
739,0.280748663101604,0.371657754010695,0.279411764705882,0.302139037433155,0.276737967914438,0.283422459893048,0.267379679144385,0.118983957219251,0.201871657754011,0.283422459893048,0.160427807486631,0.377005347593583,0.082887700534759,0.18048128342246
748,0.282694848084544,0.376486129458388,0.272126816380449,0.302509907529723,0.28005284015852,0.284015852047556,0.268163804491413,0.124174372523118,0.198150594451783,0.28005284015852,0.16116248348745,0.376486129458388,0.085865257595773,0.184940554821664
757,0.284595300261097,0.381201044386423,0.276762402088773,0.309399477806788,0.284595300261097,0.2911227154047,0.268929503916449,0.12532637075718,0.198433420365535,0.279373368146214,0.168407310704961,0.373368146214099,0.0822454308094,0.185378590078329
766,0.290322580645161,0.381935483870968,0.272258064516129,0.304516129032258,0.292903225806452,0.287741935483871,0.268387096774194,0.125161290322581,0.193548387096774,0.276129032258064,0.166451612903226,0.374193548387097,0.085161290322581,0.189677419354839
775,0.286989795918367,0.38265306122449,0.276785714285714,0.302295918367347,0.295918367346939,0.289540816326531,0.266581632653061,0.126275510204082,0.192602040816327,0.274234693877551,0.169642857142857,0.371173469387755,0.088010204081633,0.197704081632653
784,0.288776796973518,0.378310214375788,0.28499369482976,0.308953341740227,0.296343001261034,0.293820933165195,0.262295081967213,0.126103404791929,0.192938209331652,0.274905422446406,0.172761664564943,0.372005044136192,0.080706179066835,0.19672131147541
793,0.291770573566085,0.377805486284289,0.286783042394015,0.309226932668329,0.291770573566085,0.293017456359102,0.263092269326683,0.129675810473815,0.194513715710723,0.276807980049875,0.174563591022444,0.370324189526185,0.077306733167082,0.198254364089776
802,0.287299630086313,0.37731196054254,0.284833538840937,0.310727496917386,0.290998766954377,0.294697903822441,0.265104808877928,0.13193588162762,0.196054254007398,0.274969173859433,0.171393341553638,0.369913686806412,0.081381011097411,0.192355117139334
